"","x"
"1",14.9452580928
"2",14.8298506944
"3",15.271233376
"4",16.5781715456
"5",17.1349616256
"6",16.9810850944
"7",16.693578944
"8",15.9636777664
"9",15.367406208
"10",14.5605667648
"11",14.6567395968
"12",14.5413321984
"13",14.0999495168
"14",13.4469866048
"15",13.86913472
"16",15.655924704
"17",16.4435295808
"18",16.693578944
"19",16.4435295808
"20",15.9818999872
"21",15.6366901376
"22",14.8298506944
"23",13.9460729856
"24",13.3508137728
"25",13.4469866048
"26",12.8132582592
"27",13.1392335424
"28",14.0807149504
"29",14.714443296
"30",15.0606654912
"31",15.0414309248
"32",14.4643939328
"33",14.1191840832
"34",13.5816285696
"35",13.0622952768
"36",13.6200977024
"37",13.6575544896
"38",13.7344927552
"39",13.5623940032
"40",14.618270464
"41",15.3481716416
"42",15.6174555712
"43",15.8867395008
"44",15.3289370752
"45",14.9452580928
"46",14.4643939328
"47",13.2354063744
"48",12.6978508608
"49",12.3900977984
"50",12.1592830016
"51",12.9853570112
"52",13.7344927552
"53",13.7152581888
"54",13.4662211712
"55",13.3508137728
"56",13.2738755072
"57",12.9853570112
"58",12.3516286656
"59",12.0641225152
"60",11.9487151168
"61",11.2947398592
"62",11.0264682752
"63",11.257283072
"64",12.75555456
"65",13.4469866048
"66",13.5816285696
"67",13.504690304
"68",13.6960236224
"69",13.9460729856
"70",14.4836284992
"71",14.0230112512
"72",14.0037766848
"73",13.3315792064
"74",13.1007644096
"75",13.3508137728
"76",14.5605667648
"77",14.9452580928
"78",15.4058753408
"79",15.3481716416
"80",15.0414309248
"81",14.3307643136
"82",13.7537273216
"83",13.31234464
"84",14.3115297472
"85",14.4066902336
"86",14.5413321984
"87",14.0037766848
"88",14.6567395968
"89",15.1942951104
"90",15.8098012352
"91",16.3473567488
"92",16.1742456512
"93",15.3289370752
"94",14.7721469952
"95",14.5413321984
"96",14.6759741632
"97",14.7336778624
"98",15.1760728896
"99",16.0588382528
"100",18.1533812992
"101",19.4208379904
"102",19.4208379904
"103",19.1900231936
"104",18.4793565824
"105",17.7302208384
"106",16.865677696
"107",16.5397024128
"108",16.5204678464
"109",17.6725171392
"110",17.3850109888
"111",18.0764430336
"112",18.8255787776
"113",18.7871096448
"114",18.3831837504
"115",17.903331936
"116",17.0195542272
"117",16.2704184832
"118",15.5212827392
"119",14.6567395968
"120",14.3884680128
"121",13.9076038528
"122",13.3315792064
"123",12.7363199936
"124",13.408517472
"125",14.0230112512
"126",14.34999888
"127",14.4643939328
"128",14.157653216
"129",13.600863136
"130",13.0430607104
"131",12.5824434624
"132",12.563208896
"133",13.5623940032
"134",14.0807149504
"135",14.0037766848
"136",14.2730606144
"137",14.8683198272
"138",14.7913815616
"139",14.5605667648
"140",14.0807149504
"141",13.5239248704
"142",12.4478014976
"143",12.2554558336
"144",11.9487151168
"145",12.5055051968
"146",12.370863232
"147",12.9853570112
"148",14.4259248
"149",15.271233376
"150",15.1376037568
"151",14.618270464
"152",14.061480384
"153",13.1969372416
"154",12.3516286656
"155",11.5447892224
"156",11.4486163904
"157",11.1226411072
"158",10.4889127616
"159",10.4312090624
"160",11.4870855232
"161",11.9294805504
"162",11.9871842496
"163",11.9871842496
"164",11.7948385856
"165",11.5447892224
"166",11.0072337088
"167",10.3350362304
"168",10.2003942656
"169",10.3735053632
"170",10.2580979648
"171",10.872591744
"172",11.6986657536
"173",12.3516286656
"174",12.659381728
"175",12.8891841792
"176",12.3516286656
"177",12.2169867008
"178",11.429381824
"179",11.2765176384
"180",11.2380485056
"181",10.4696781952
"182",10.123456
"183",11.4870855232
"184",12.927653312
"185",13.4854557376
"186",13.504690304
"187",13.3508137728
"188",12.8324928256
"189",12.467036064
"190",12.1977521344
"191",11.7371348864
"192",11.3909126912
"193",12.6209125952
"194",13.6575544896
"195",13.6575544896
"196",14.3307643136
"197",15.4443444736
"198",15.7905666688
"199",16.2319493504
"200",15.7905666688
"201",14.6952087296
"202",13.600863136
"203",12.7940236928
"204",12.2554558336
"205",12.2939249664
"206",13.1392335424
"207",12.0641225152
"208",15.2519988096
"209",15.3866407744
"210",15.6174555712
"211",15.6174555712
"212",15.5982210048
"213",14.8875543936
"214",14.3115297472
"215",13.4662211712
"216",13.1392335424
"217",13.1969372416
"218",13.0622952768
"219",13.8883692864
"220",14.9837272256
"221",15.7328629696
"222",15.8098012352
"223",15.6943938368
"224",15.4058753408
"225",14.7721469952
"226",14.0230112512
"227",13.5816285696
"228",13.216171808
"229",12.467036064
"230",12.3900977984
"231",12.7170854272
"232",14.061480384
"233",14.8683198272
"234",15.5020481728
"235",15.5982210048
"236",15.2135296768
"237",14.9644926592
"238",14.3884680128
"239",13.600863136
"240",13.8306655872
"241",14.4643939328
"242",13.6575544896
"243",13.31234464
"244",13.7537273216
"245",14.0422458176
"246",14.34999888
"247",14.2730606144
"248",13.8883692864
"249",13.2546409408
"250",12.7170854272
"251",12.178517568
"252",12.2939249664
"253",12.006418816
"254",12.563208896
"255",12.927653312
"256",14.810616128
"257",15.4058753408
"258",16.116541952
"259",16.0780728192
"260",15.9444432
"261",15.46357904
"262",14.9837272256
"263",14.7336778624
"264",14.522097632
"265",15.2904679424
"266",14.7336778624
"267",15.1376037568
"268",16.1550110848
"269",17.807159104
"270",19.037159008
"271",19.037159008
"272",18.556294848
"273",17.6917517056
"274",17.0195542272
"275",16.4242950144
"276",15.7328629696
"277",14.9260235264
"278",14.6567395968
"279",14.90678896
"280",16.5204678464
"281",17.5378751744
"282",17.8263936704
"283",17.4234801216
"284",16.7502702976
"285",16.1742456512
"286",15.6174555712
"287",15.1568383232
"288",14.714443296
"289",14.3884680128
"290",13.8883692864
"291",15.1942951104
"292",16.5204678464
"293",17.2888381568
"294",18.1341467328
"295",18.3831837504
"296",17.9225665024
"297",17.2696035904
"298",17.4811838208
"299",16.7502702976
"300",16.2704184832
"301",16.1934802176
"302",15.4828136064
"303",16.0973073856
"304",16.50123328
"305",16.7502702976
"306",17.710986272
"307",17.8840973696
"308",17.1734307584
"309",16.3473567488
"310",15.6174555712
"311",15.0221963584
"312",14.4451593664
"313",14.2922951808
"314",14.3307643136
"315",14.253826048
"316",16.6166406784
"317",18.4408874496
"318",19.5362453888
"319",19.0563935744
"320",18.5947639808
"321",18.0956776
"322",17.0772579264
"323",16.3281221824
"324",15.9059740672
"325",15.8098012352
"326",15.3481716416
"327",16.3473567488
"328",17.8263936704
"329",18.6332331136
"330",18.6909368128
"331",18.4793565824
"332",17.8263936704
"333",17.0195542272
"334",15.9059740672
"335",15.2519988096
"336",14.9452580928
"337",15.0606654912
"338",15.559751872
"339",15.9252086336
"340",16.1934802176
"341",16.4242950144
"342",16.3858258816
"343",16.212714784
"344",15.6366901376
"345",14.7529124288
"346",14.253826048
"347",13.3892829056
"348",13.1392335424
"349",14.6375050304
"350",15.848270368
"351",15.8290358016
"352",17.3657764224
"353",17.5955788736
"354",17.3273072896
"355",16.9426159616
"356",16.3665913152
"357",16.116541952
"358",15.5982210048
"359",15.2519988096
"360",15.9636777664
"361",15.9818999872
"362",16.0588382528
"363",17.3657764224
"364",18.4024183168
"365",18.8832824768
"366",18.844813344
"367",18.6332331136
"368",18.0572084672
"369",17.2888381568
"370",16.6743443776
"371",16.4242950144
"372",16.597406112
"373",17.61481344
"374",18.9025170432
"375",19.3246651584
"376",20.0738009024
"377",20.246912
"378",20.1892083008
"379",19.7670601856
"380",19.20925776
"381",18.6909368128
"382",17.4811838208
"383",16.6166406784
"384",16.6166406784
