"","V1","V2"
"1","1956-01","1709"
"2","1956-02","1646"
"3","1956-03","1794"
"4","1956-04","1878"
"5","1956-05","2173"
"6","1956-06","2321"
"7","1956-07","2468"
"8","1956-08","2416"
"9","1956-09","2184"
"10","1956-10","2121"
"11","1956-11","1962"
"12","1956-12","1825"
"13","1957-01","1751"
"14","1957-02","1688"
"15","1957-03","1920"
"16","1957-04","1941"
"17","1957-05","2311"
"18","1957-06","2279"
"19","1957-07","2638"
"20","1957-08","2448"
"21","1957-09","2279"
"22","1957-10","2163"
"23","1957-11","1941"
"24","1957-12","1878"
"25","1958-01","1773"
"26","1958-02","1688"
"27","1958-03","1783"
"28","1958-04","1984"
"29","1958-05","2290"
"30","1958-06","2511"
"31","1958-07","2712"
"32","1958-08","2522"
"33","1958-09","2342"
"34","1958-10","2195"
"35","1958-11","1931"
"36","1958-12","1910"
"37","1959-01","1730"
"38","1959-02","1688"
"39","1959-03","1899"
"40","1959-04","1994"
"41","1959-05","2342"
"42","1959-06","2553"
"43","1959-07","2712"
"44","1959-08","2627"
"45","1959-09","2363"
"46","1959-10","2311"
"47","1959-11","2026"
"48","1959-12","1910"
"49","1960-01","1762"
"50","1960-02","1815"
"51","1960-03","2005"
"52","1960-04","2089"
"53","1960-05","2617"
"54","1960-06","2828"
"55","1960-07","2965"
"56","1960-08","2891"
"57","1960-09","2532"
"58","1960-10","2363"
"59","1960-11","2216"
"60","1960-12","2026"
"61","1961-01","1804"
"62","1961-02","1773"
"63","1961-03","2015"
"64","1961-04","2089"
"65","1961-05","2627"
"66","1961-06","2712"
"67","1961-07","3007"
"68","1961-08","2880"
"69","1961-09","2490"
"70","1961-10","2237"
"71","1961-11","2205"
"72","1961-12","1984"
"73","1962-01","1868"
"74","1962-02","1815"
"75","1962-03","2047"
"76","1962-04","2142"
"77","1962-05","2743"
"78","1962-06","2775"
"79","1962-07","3028"
"80","1962-08","2965"
"81","1962-09","2501"
"82","1962-10","2501"
"83","1962-11","2131"
"84","1962-12","2015"
"85","1963-01","1910"
"86","1963-02","1868"
"87","1963-03","2121"
"88","1963-04","2268"
"89","1963-05","2690"
"90","1963-06","2933"
"91","1963-07","3218"
"92","1963-08","3028"
"93","1963-09","2659"
"94","1963-10","2406"
"95","1963-11","2258"
"96","1963-12","2057"
"97","1964-01","1889"
"98","1964-02","1984"
"99","1964-03","2110"
"100","1964-04","2311"
