"","V1","V2"
"1","1961-07","13505"
"2","1961-08","14419"
"3","1961-09","12877"
"4","1961-10","16058"
"5","1961-11","19290"
"6","1961-12","13733"
"7","1962-01","13352"
"8","1962-02","17925"
"9","1962-03","21154"
"10","1962-04","18059"
"11","1962-05","23488"
"12","1962-06","18103"
"13","1962-07","22260"
"14","1962-08","27330"
"15","1962-09","25838"
"16","1962-10","28509"
"17","1962-11","28822"
"18","1962-12","21374"
"19","1963-01","21159"
"20","1963-02","25025"
"21","1963-03","22686"
"22","1963-04","22487"
"23","1963-05","26735"
"24","1963-06","21419"
"25","1963-07","26574"
"26","1963-08","26728"
"27","1963-09","26772"
"28","1963-10","26816"
"29","1963-11","28513"
"30","1963-12","21135"
"31","1964-01","14144"
"32","1964-02","27832"
"33","1964-03","28000"
"34","1964-04","31817"
"35","1964-05","30827"
"36","1964-06","30273"
"37","1964-07","32720"
"38","1964-08","28301"
"39","1964-09","31538"
"40","1964-10","21361"
"41","1964-11","29189"
"42","1964-12","23431"
"43","1965-01","12536"
"44","1965-02","24562"
"45","1965-03","34009"
"46","1965-04","30543"
"47","1965-05","33533"
"48","1965-06","32866"
"49","1965-07","28827"
"50","1965-08","29022"
"51","1965-09","28421"
"52","1965-10","23009"
"53","1965-11","26692"
"54","1965-12","19909"
"55","1966-01","8785"
"56","1966-02","21342"
"57","1966-03","27641"
"58","1966-04","24821"
"59","1966-05","28107"
"60","1966-06","27149"
"61","1966-07","24151"
"62","1966-08","25282"
"63","1966-09","22021"
"64","1966-10","22353"
"65","1966-11","26386"
"66","1966-12","21643"
"67","1967-01","13877"
"68","1967-02","27252"
"69","1967-03","28752"
"70","1967-04","26315"
"71","1967-05","31460"
"72","1967-06","26755"
"73","1967-07","26474"
"74","1967-08","28043"
"75","1967-09","24805"
"76","1967-10","30010"
"77","1967-11","30928"
"78","1967-12","19243"
"79","1968-01","13441"
"80","1968-02","33235"
"81","1968-03","35461"
"82","1968-04","30314"
"83","1968-05","32206"
"84","1968-06","25919"
"85","1968-07","31192"
"86","1968-08","30453"
"87","1968-09","29930"
"88","1968-10","32430"
"89","1968-11","29304"
"90","1968-12","21175"
"91","1969-01","14998"
"92","1969-02","27222"
"93","1969-03","31062"
"94","1969-04","29498"
"95","1969-05","33186"
"96","1969-06","31405"
"97","1969-07","36537"
"98","1969-08","34714"
"99","1969-09","36861"
"100","1969-10","38137"
"101","1969-11","28926"
"102","1969-12","28590"
"103","1970-01","16199"
"104","1970-02","35081"
"105","1970-03","33993"
"106","1970-04","36715"
"107","1970-05","34743"
"108","1970-06","33635"
"109","1970-07","36441"
"110","1970-08","31749"
