"","V1","V2"
"1","1956-01","93.2"
"2","1956-02","96"
"3","1956-03","95.2"
"4","1956-04","77.1"
"5","1956-05","70.9"
"6","1956-06","64.8"
"7","1956-07","70.1"
"8","1956-08","77.3"
"9","1956-09","79.5"
"10","1956-10","100.6"
"11","1956-11","100.7"
"12","1956-12","107.1"
"13","1957-01","95.9"
"14","1957-02","82.8"
"15","1957-03","83.3"
"16","1957-04","80"
"17","1957-05","80.4"
"18","1957-06","67.5"
"19","1957-07","75.7"
"20","1957-08","71.1"
"21","1957-09","89.3"
"22","1957-10","101.1"
"23","1957-11","105.2"
"24","1957-12","114.1"
"25","1958-01","96.3"
"26","1958-02","84.4"
"27","1958-03","91.2"
"28","1958-04","81.9"
"29","1958-05","80.5"
"30","1958-06","70.4"
"31","1958-07","74.8"
"32","1958-08","75.9"
"33","1958-09","86.3"
"34","1958-10","98.7"
"35","1958-11","100.9"
"36","1958-12","113.8"
"37","1959-01","89.8"
"38","1959-02","84.4"
"39","1959-03","87.2"
"40","1959-04","85.6"
"41","1959-05","72"
"42","1959-06","69.2"
"43","1959-07","77.5"
"44","1959-08","78.1"
"45","1959-09","94.3"
"46","1959-10","97.7"
"47","1959-11","100.2"
"48","1959-12","116.4"
"49","1960-01","97.1"
"50","1960-02","93"
"51","1960-03","96"
"52","1960-04","80.5"
"53","1960-05","76.1"
"54","1960-06","69.9"
"55","1960-07","73.6"
"56","1960-08","92.6"
"57","1960-09","94.2"
"58","1960-10","93.5"
"59","1960-11","108.5"
"60","1960-12","109.4"
"61","1961-01","105.1"
"62","1961-02","92.5"
"63","1961-03","97.1"
"64","1961-04","81.4"
"65","1961-05","79.1"
"66","1961-06","72.1"
"67","1961-07","78.7"
"68","1961-08","87.1"
"69","1961-09","91.4"
"70","1961-10","109.9"
"71","1961-11","116.3"
"72","1961-12","113"
"73","1962-01","100"
"74","1962-02","84.8"
"75","1962-03","94.3"
"76","1962-04","87.1"
"77","1962-05","90.3"
"78","1962-06","72.4"
"79","1962-07","84.9"
"80","1962-08","92.7"
"81","1962-09","92.2"
"82","1962-10","114.9"
"83","1962-11","112.5"
"84","1962-12","118.3"
"85","1963-01","106"
"86","1963-02","91.2"
"87","1963-03","96.6"
"88","1963-04","96.3"
"89","1963-05","88.2"
"90","1963-06","70.2"
"91","1963-07","86.5"
"92","1963-08","88.2"
"93","1963-09","102.8"
"94","1963-10","119.1"
"95","1963-11","119.2"
"96","1963-12","125.1"
"97","1964-01","106.1"
"98","1964-02","102.1"
"99","1964-03","105.2"
"100","1964-04","101"
"101","1964-05","84.3"
"102","1964-06","87.5"
"103","1964-07","92.7"
"104","1964-08","94.4"
"105","1964-09","113"
"106","1964-10","113.9"
"107","1964-11","122.9"
"108","1964-12","132.7"
"109","1965-01","106.9"
"110","1965-02","96.6"
"111","1965-03","127.3"
"112","1965-04","98.2"
"113","1965-05","100.2"
"114","1965-06","89.4"
"115","1965-07","95.3"
"116","1965-08","104.2"
"117","1965-09","106.4"
"118","1965-10","116.2"
"119","1965-11","135.9"
"120","1965-12","134"
"121","1966-01","104.6"
"122","1966-02","107.1"
"123","1966-03","123.5"
"124","1966-04","98.8"
"125","1966-05","98.6"
"126","1966-06","90.6"
"127","1966-07","89.1"
"128","1966-08","105.2"
"129","1966-09","114"
"130","1966-10","122.1"
"131","1966-11","138"
"132","1966-12","142.2"
"133","1967-01","116.4"
"134","1967-02","112.6"
"135","1967-03","123.8"
"136","1967-04","103.6"
"137","1967-05","113.9"
"138","1967-06","98.6"
"139","1967-07","95"
"140","1967-08","116"
"141","1967-09","113.9"
"142","1967-10","127.5"
"143","1967-11","131.4"
"144","1967-12","145.9"
"145","1968-01","131.5"
"146","1968-02","131"
"147","1968-03","130.5"
"148","1968-04","118.9"
"149","1968-05","114.3"
"150","1968-06","85.7"
"151","1968-07","104.6"
"152","1968-08","105.1"
"153","1968-09","117.3"
"154","1968-10","142.5"
"155","1968-11","140"
"156","1968-12","159.8"
"157","1969-01","131.2"
"158","1969-02","125.4"
"159","1969-03","126.5"
"160","1969-04","119.4"
"161","1969-05","113.5"
"162","1969-06","98.7"
"163","1969-07","114.5"
"164","1969-08","113.8"
"165","1969-09","133.1"
"166","1969-10","143.4"
"167","1969-11","137.3"
"168","1969-12","165.2"
"169","1970-01","126.9"
"170","1970-02","124"
"171","1970-03","135.7"
"172","1970-04","130"
"173","1970-05","109.4"
"174","1970-06","117.8"
"175","1970-07","120.3"
"176","1970-08","121"
"177","1970-09","132.3"
"178","1970-10","142.9"
"179","1970-11","147.4"
"180","1970-12","175.9"
"181","1971-01","132.6"
"182","1971-02","123.7"
"183","1971-03","153.3"
"184","1971-04","134"
"185","1971-05","119.6"
"186","1971-06","116.2"
"187","1971-07","118.6"
"188","1971-08","130.7"
"189","1971-09","129.3"
"190","1971-10","144.4"
"191","1971-11","163.2"
"192","1971-12","179.4"
"193","1972-01","128.1"
"194","1972-02","138.4"
"195","1972-03","152.7"
"196","1972-04","120"
"197","1972-05","140.5"
"198","1972-06","116.2"
"199","1972-07","121.4"
"200","1972-08","127.8"
"201","1972-09","NA"
"202","1972-10","NA"
"203","1972-11","NA"
"204","1972-12","NA"
"205","1973-01","NA"
"206","1973-02","NA"
"207","1973-03","NA"
"208","1973-04","NA"
"209","1973-05","NA"
"210","1973-06","NA"
"211","1973-07","NA"
"212","1973-08","NA"
"213","1973-09","NA"
"214","1973-10","NA"
"215","1973-11","NA"
"216","1973-12","NA"
"217","1974-01","NA"
"218","1974-02","NA"
"219","1974-03","NA"
"220","1974-04","NA"
"221","1974-05","NA"
"222","1974-06","NA"
"223","1974-07","NA"
"224","1974-08","NA"
"225","1974-09","NA"
"226","1974-10","NA"
"227","1974-11","NA"
"228","1974-12","NA"
"229","1975-01","NA"
"230","1975-02","NA"
"231","1975-03","168.8"
"232","1975-04","158.1"
"233","1975-05","158.5"
"234","1975-06","135.3"
"235","1975-07","149.3"
"236","1975-08","143.4"
"237","1975-09","142.2"
"238","1975-10","188.4"
"239","1975-11","166.2"
"240","1975-12","199.2"
"241","1976-01","182.7"
"242","1976-02","145.2"
"243","1976-03","182.1"
"244","1976-04","158.7"
"245","1976-05","141.6"
"246","1976-06","132.6"
"247","1976-07","139.6"
"248","1976-08","147"
"249","1976-09","166.6"
"250","1976-10","157"
"251","1976-11","180.4"
"252","1976-12","210.2"
"253","1977-01","159.8"
"254","1977-02","157.8"
"255","1977-03","168.2"
"256","1977-04","158.4"
"257","1977-05","152"
"258","1977-06","142.2"
"259","1977-07","137.2"
"260","1977-08","152.6"
"261","1977-09","166.8"
"262","1977-10","165.6"
"263","1977-11","198.6"
"264","1977-12","201.5"
"265","1978-01","170.7"
"266","1978-02","164.4"
"267","1978-03","179.7"
"268","1978-04","157"
"269","1978-05","168"
"270","1978-06","139.3"
"271","1978-07","138.6"
"272","1978-08","153.4"
