"","X1943","X10","X20.4"
"1",1943,11,20.6
"2",1943,12,23
"3",1944,1,26.6
"4",1944,2,26.2
"5",1944,3,24
"6",1944,4,21.9
"7",1944,5,18.4
"8",1944,6,15.6
"9",1944,7,15.9
"10",1944,8,16.4
"11",1944,9,19.8
"12",1944,10,23.1
"13",1944,11,25.6
"14",1944,12,26.1
"15",1945,1,24.6
"16",1945,2,24.9
"17",1945,3,24.7
"18",1945,4,22.2
"19",1945,5,18.9
"20",1945,6,16.9
"21",1945,7,15.4
"22",1945,8,18.5
"23",1945,9,19.8
"24",1945,10,21.6
"25",1945,11,24.7
"26",1945,12,24.7
"27",1946,1,27.5
"28",1946,2,26.1
"29",1946,3,24.1
"30",1946,4,20.4
"31",1946,5,19.7
"32",1946,6,16.3
"33",1946,7,18.3
"34",1946,8,19.4
"35",1946,9,19.8
"36",1946,10,20.5
"37",1946,11,23.6
"38",1946,12,25.4
"39",1947,1,25.1
"40",1947,2,25.2
"41",1947,3,24.6
"42",1947,4,21.6
"43",1947,5,20.8
"44",1947,6,18.2
"45",1947,7,17.1
"46",1947,8,17.7
"47",1947,9,20.2
"48",1947,10,22.1
"49",1947,11,21.4
"50",1947,12,24.6
"51",1948,1,23.1
"52",1948,2,26.3
"53",1948,3,23.7
"54",1948,4,21
"55",1948,5,19.7
"56",1948,6,16.6
"57",1948,7,16.2
"58",1948,8,19.2
"59",1948,9,20
"60",1948,10,23.6
"61",1948,11,21.5
"62",1948,12,24.4
"63",1949,1,23.9
"64",1949,2,26
"65",1949,3,23.2
"66",1949,4,21
"67",1949,5,19.3
"68",1949,6,15.5
"69",1949,7,17.4
"70",1949,8,18
"71",1949,9,19.1
"72",1949,10,24.4
"73",1949,11,23.3
"74",1949,12,24.9
"75",1950,1,25.8
"76",1950,2,24.4
"77",1950,3,24.6
"78",1950,4,22.2
"79",1950,5,19.1
"80",1950,6,16.8
"81",1950,7,16.6
"82",1950,8,17.6
"83",1950,9,21.7
"84",1950,10,21.3
"85",1950,11,22
"86",1950,12,24.8
"87",1951,1,23.9
"88",1951,2,25.4
"89",1951,3,25.8
"90",1951,4,21.9
"91",1951,5,20
"92",1951,6,17.3
"93",1951,7,17.1
"94",1951,8,17.4
"95",1951,9,21
"96",1951,10,22.4
"97",1951,11,24.1
"98",1951,12,24.8
"99",1952,1,26.7
"100",1952,2,24.7
"101",1952,3,25.2
"102",1952,4,22.3
"103",1952,5,18.8
"104",1952,6,18
"105",1952,7,16.4
"106",1952,8,17.5
"107",1952,9,20.7
"108",1952,10,21.5
"109",1952,11,22.7
"110",1952,12,23.6
"111",1953,1,24.1
"112",1953,2,24.2
"113",1953,3,24.4
"114",1953,4,24.2
"115",1953,5,20
"116",1953,6,17.2
"117",1953,7,17.2
"118",1953,8,17.8
"119",1953,9,20.2
"120",1953,10,20.6
"121",1953,11,24.3
"122",1953,12,26.4
"123",1954,1,24.3
"124",1954,2,26
"125",1954,3,25.3
"126",1954,4,23.8
"127",1954,5,19.2
"128",1954,6,17.4
"129",1954,7,17.1
"130",1954,8,18.6
"131",1954,9,18
"132",1954,10,21.6
"133",1954,11,24.4
"134",1954,12,24.2
"135",1955,1,25.8
"136",1955,2,25.5
"137",1955,3,25.3
"138",1955,4,22.7
"139",1955,5,19.2
"140",1955,6,16.6
"141",1955,7,16.4
"142",1955,8,18.9
"143",1955,9,20.1
"144",1955,10,22.9
"145",1955,11,24.3
"146",1955,12,23.6
"147",1956,1,25.1
"148",1956,2,25.3
"149",1956,3,24.9
"150",1956,4,23.9
"151",1956,5,19.4
"152",1956,6,17.1
"153",1956,7,16.6
"154",1956,8,17.5
"155",1956,9,18.1
"156",1956,10,21.4
"157",1956,11,23.8
"158",1956,12,26
"159",1957,1,24.1
"160",1957,2,24
"161",1957,3,24.1
"162",1957,4,23.5
"163",1957,5,21.1
"164",1957,6,20.3
"165",1957,7,15.7
"166",1957,8,17.3
"167",1957,9,19.6
"168",1957,10,22.4
"169",1957,11,26
"170",1957,12,27.4
"171",1958,1,24.6
"172",1958,2,26.3
"173",1958,3,26.3
"174",1958,4,23.1
"175",1958,5,22.7
"176",1958,6,17.8
"177",1958,7,16.9
"178",1958,8,18.5
"179",1958,9,18.5
"180",1958,10,22.7
"181",1958,11,25.2
"182",1958,12,24
"183",1959,1,25.5
"184",1959,2,26.2
"185",1959,3,25.3
"186",1959,4,23
"187",1959,5,19.4
"188",1959,6,17.8
"189",1959,7,17.3
"190",1959,8,18.5
"191",1959,9,19.9
"192",1959,10,20
"193",1959,11,23.9
"194",1959,12,25.2
"195",1960,1,28.3
"196",1960,2,25.5
"197",1960,3,24.5
"198",1960,4,23.7
"199",1960,5,19.1
"200",1960,6,16.2
"201",1960,7,17.5
"202",1960,8,17.5
"203",1960,9,19.5
"204",1960,10,22.2
"205",1960,11,22.7
"206",1960,12,22.8
"207",1961,1,25.5
"208",1961,2,25.7
"209",1961,3,25.6
"210",1961,4,22.7
"211",1961,5,19.4
"212",1961,6,17.6
"213",1961,7,16.7
"214",1961,8,17.1
"215",1961,9,19.7
"216",1961,10,23.3
"217",1961,11,23.1
"218",1961,12,24.7
"219",1962,1,25.1
"220",1962,2,26.4
"221",1962,3,25.3
"222",1962,4,22.5
"223",1962,5,19.2
"224",1962,6,19.1
"225",1962,7,17.7
"226",1962,8,17.7
"227",1962,9,20.5
"228",1962,10,21.9
"229",1962,11,24.1
"230",1962,12,23.6
"231",1963,1,25.9
"232",1963,2,26.7
"233",1963,3,24.6
"234",1963,4,23
"235",1963,5,20
"236",1963,6,17
"237",1963,7,16.5
"238",1963,8,17.1
"239",1963,9,20.3
"240",1963,10,21.3
"241",1963,11,22.2
"242",1963,12,25.5
"243",1964,1,27.6
"244",1964,2,25.7
"245",1964,3,25.1
"246",1964,4,22.5
"247",1964,5,20.1
"248",1964,6,18.1
"249",1964,7,17.7
"250",1964,8,18.9
"251",1964,9,21.2
"252",1964,10,21.4
"253",1964,11,24.2
"254",1964,12,25.4
"255",1965,1,23.2
"256",1965,2,25.6
"257",1965,3,26.2
"258",1965,4,22.1
"259",1965,5,21.3
"260",1965,6,18.5
"261",1965,7,16.8
"262",1965,8,18.6
"263",1965,9,21.8
"264",1965,10,22.7
"265",1965,11,23.8
"266",1965,12,24.3
"267",1966,1,25.4
"268",1966,2,25.3
"269",1966,3,24.6
"270",1966,4,23.3
"271",1966,5,20.1
"272",1966,6,17.9
"273",1966,7,16.6
"274",1966,8,17.3
"275",1966,9,19.3
"276",1966,10,20.7
"277",1966,11,24.6
"278",1966,12,24.5
"279",1967,1,26.7
"280",1967,2,24.9
"281",1967,3,24
"282",1967,4,23.1
"283",1967,5,20.1
"284",1967,6,17.8
"285",1967,7,17.2
"286",1967,8,17.4
"287",1967,9,19.6
"288",1967,10,21.5
"289",1967,11,24.2
"290",1967,12,24.2
"291",1968,1,25.6
"292",1968,2,26.9
"293",1968,3,26.7
"294",1968,4,25.3
"295",1968,5,19.8
"296",1968,6,16.9
"297",1968,7,16.2
"298",1968,8,18.8
"299",1968,9,20.5
"300",1968,10,24.2
"301",1968,11,26
"302",1968,12,23.7
"303",1969,1,27.4
"304",1969,2,25.5
"305",1969,3,25.3
"306",1969,4,24.4
"307",1969,5,19.7
"308",1969,6,17.4
"309",1969,7,18
"310",1969,8,19.1
"311",1969,9,18.3
"312",1969,10,20.8
"313",1969,11,22.9
"314",1969,12,26.3
"315",1970,1,26.3
"316",1970,2,26.3
"317",1970,3,24.7
"318",1970,4,23.6
"319",1970,5,18.5
"320",1970,6,18.1
"321",1970,7,18.1
"322",1970,8,17.9
"323",1970,9,18.6
"324",1970,10,23.5
"325",1970,11,22.3
"326",1970,12,25.8
"327",1971,1,25.2
"328",1971,2,26.4
"329",1971,3,25.2
"330",1971,4,23.4
"331",1971,5,20.1
"332",1971,6,17.1
"333",1971,7,15.9
"334",1971,8,18.3
